bronhouder,bron,onderwerp,gebiedsniveau,status,reden_of_selectie,licentie_of_voorwaarden,bron_url
Gemeente Utrecht,"Utrecht in Cijfers - zorg en gezondheid","zorggebruik en gezondheidsmonitorindicatoren","Utrechtse wijk; buurt",niet_opgenomen,"goede lokale bron maar niet bruikbaar voor Amsterdam of landelijke vergelijking; wel voorbeeld voor gemeentelijke connector","CC BY 4.0",https://data.overheid.nl/dataset/7fec4ec7-e8ff-4283-b252-c090d796d18c
Provincie Zuid-Holland,"Gezondheidsverschillen per buurt","RIVM-gezondheidsindicatoren en beweegvriendelijkheid","Zuid-Hollandse buurt",niet_gedupliceerd,"indicatoren zijn provinciale uitsneden/kopieën van reeds opgenomen landelijke RIVM-tabellen","CC BY 4.0 of publiek domein per laag",https://data.overheid.nl/dataset/dfdd0a29-41d1-4a3f-be16-f51ce7930c33
Gemeente Amsterdam,"Maatschappelijke voorzieningen","gemeentelijke voorzieningen, domein, categorie, soort en locatie","puntlocatie; koppelbaar aan buurt/wijk/GGW-gebied",opgenomen,"actuele ruimtelijke aanbodlaag met CSV en GeoJSON; nuttig voor locatiekeuze en bereikbaarheid","publiek volgens API; herpublicatievoorwaarden controleren",https://api.data.amsterdam.nl/v1/docs/datasets/maatschappelijke_voorzieningen.html
Gemeente Amsterdam,"Sportvoorzieningen","aanbieders, gymzalen, hallen, openbare sportplekken, parken, velden, zwembaden en hardlooproutes","punt/lijn/vlak; koppelbaar aan buurt/wijk/GGW-gebied",opgenomen,"acht actuele GeoJSON-lagen voor bewegen, ontmoeting en bereikbaarheid","publiek volgens API; herpublicatievoorwaarden controleren",https://api.data.amsterdam.nl/v1/docs/datasets/sport.html
Gemeente Amsterdam,"Schoolgebouwen","accommodaties, instellingen, gebruik, leerlingkengetallen en prognoses","adres; wijk; stadsdeel",opgenomen,"vijf genormaliseerde CSV-tabellen voor jeugd- en voorzieningenplanning","publiek volgens API; herpublicatievoorwaarden controleren",https://api.data.amsterdam.nl/v1/docs/datasets/schoolgebouwen.html
Gemeente Amsterdam,"Woningbouwplannen openbaar","planfase, woningbouwsegmenten, aantallen en locatie","buurt; wijk; GGW-gebied; stadsdeel; geometrie",opgenomen,"actuele scenario-input voor toekomstige bevolkings- en voorzieningenontwikkeling","CC BY volgens API-documentatie",https://api.data.amsterdam.nl/v1/docs/datasets/nieuwbouwplannen.html
Gemeente Amsterdam,"Gebieden","officiële buurten, wijken, stadsdelen en 25 GGW-gebieden","buurt; wijk; GGW-gebied; stadsdeel",opgenomen,"actuele GeoJSON-grenzen voor kaart en gebiedskeuze; niet zonder indelingsjaar voor historische tijdreeksen gebruiken","publiek volgens API; herpublicatievoorwaarden controleren",https://api.data.amsterdam.nl/v1/docs/datasets/gebieden.html
Amsterdam O&S,"Focusgebieden Amsterdam","outcomemonitors voor Masterplan Zuidoost, Aanpak Noord en Samen Nieuw-West","focusgebied en deelgebied",opgenomen_als_context,"vier werkboeken juni 2026; relevant als programma- en benchmarkcontext, niet representatief voor Amsterdam-Oost","openbare O&S-download; bronvermelding/hergebruik controleren",https://onderzoek.amsterdam.nl/dataset/focusgebieden-amsterdam
Amsterdam O&S,"Veiligheidsindex 2026-1","geregistreerde criminaliteit en veiligheidsindicatoren","veiligheidsmonitorgebied/deelgebied",opgenomen_als_context,"twee werkboeken met actuele en vergelijkende veiligheidscontext; geen directe maat voor zorgvraag","openbare O&S-download; bronvermelding/hergebruik controleren",https://onderzoek.amsterdam.nl/dataset/openbare-orde-en-veiligheid
Amsterdam O&S,"Zorg en welzijn archief","historische lokale zorg- en welzijnstabellen","veelal gemeente/stadsdeel; wisselend",niet_gedupliceerd,"grotendeels archief- of stadsdeelniveau en vaak gedekt door BBGA, CBS, RIVM of GGD-dashboard; geen extra stabiele buurtbulk geselecteerd","zie bronpagina per dataset",https://onderzoek.amsterdam.nl/dataset/zorg-en-welzijn
Amsterdam O&S,"Bevolkingsprognoses Amsterdam","bevolkingsontwikkeling en prognoses","Amsterdamse gebieden",niet_gedupliceerd,"BBGA bevat al lokale prognosevariabelen en heeft voor de tool één uniforme metadata-route","actuele gemeentelijke voorwaarden controleren",https://onderzoek.amsterdam.nl/dataset/bevolkingsprognoses-amsterdam
