source,dataset_id,table_title,variable,theme,label,definition,unit,decimals,period,source_detail,geography,nonempty_rows,nonempty_amsterdam_rows
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),Codering_3,Regioaanduiding,Codering,"Gemeentecode heeft 4 posities, voorafgegaan door ""GM"". 

Wijkcode heeft 6 posities: gemeentecode (4) + wijkcode (2), voorafgegaan door ""WK"". 

Buurtcode heeft 8 posities: gemeentecode (4) + wijkcode (2) + buurtcode (2), voorafgegaan door ""BU"".",codering,0,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,91550,3140
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),GoedErvarenGezondheid_4,Ervaren gezondheid,Goed ervaren gezondheid,"Percentage personen van 18 jaar of ouder met antwoordcategorie 'zeer goed' of 'goed' op de vraag naar de algemene gezondheidstoestand.

Indicator code: KLGGA208

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,76140,2693
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),EenOfMeerLangdurigeAandoeningen_5,Lichamelijke gezondheid,Één of meer langdurige aandoeningen,"Percentage personen van 18 jaar of ouder met de antwoordcategorie 'ja' op de vraag: Heeft u één of meer langdurige ziekten of aandoeningen? Langdurig is (naar verwachting) 6 maanden of langer.

Indicator code: CALGA260

Cijfers over 2012 zijn niet beschikbaar.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,60989,2162
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),LangdurigBeperkt_6,Lichamelijke gezondheid,Langdurig beperkt,"Percentage personen dat aangeeft (ernstig) beperkt te zijn in het dagelijks leven vanwege problemen gezondheid.

Indicator code: CALGS267

Cijfers over 2012 en 2016 zijn niet beschikbaar.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,45799,1626
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),BeperktVanwegeGezondheid_7,Lichamelijke gezondheid,Beperkt vanwege gezondheid,"Percentage personen dat aangeeft ernstig beperkt te zijn in het dagelijks leven vanwege problemen gezondheid.

Indicator code: CALGA264

Cijfers over 2012 en 2016 zijn niet beschikbaar.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,45799,1626
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),ErnstigBeperktVanwegeGezondheid_8,Lichamelijke gezondheid,Ernstig beperkt vanwege gezondheid,"Percentage personen dat aangeeft langdurig (ernstig) beperkt te zijn in het dagelijks leven vanwege problemen met de gezondheid.

De internationaal gebruikte en afgestemde indicator voor gezondheidsbeperking wordt de GALI-indicator genoemd. GALI staat voor Global Activity Limitation Indicator.

Indicator code: CALGA265

Cijfers over 2012 en 2016 zijn niet beschikbaar.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,45799,1626
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),EenOfMeerLichamelijkeBeperkingen_9,Beperkingen,Één of meer lichamelijke beperkingen,"Percentage personen van 65 jaar of ouder met minstens 1 OESO-beperking. Een respondent heeft een beperking als hij of zij op minstens één van de 7 vragen met 'kan niet' of 'met grote moeite' antwoordt.

Indicator code: LGBPS209

In 2024 alleen uitgevraagd bij personen van 65 jaar en ouder.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,0,0
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),BeperkingInHoren_10,Beperkingen > Soort beperking,Beperking in horen,"Percentage personen van 65 jaar of ouder met de antwoordcategorie 'ja, met grote moeite' of 'nee, dat kan ik niet' op minstens 1 van de vragen naar beperkingen in horen (volgens de OESO indicator).

Indicator code: LGBPS203

In 2024 alleen uitgevraagd bij personen van 65 jaar en ouder.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,0,0
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),BeperkingInZien_11,Beperkingen > Soort beperking,Beperking in zien,"Percentage personen van 65 jaar of ouder met de antwoordcategorie 'ja, met grote moeite' of 'nee, dat kan ik niet' op minstens 1 van de vragen naar beperkingen in zien (volgens de OESO indicator).

Indicator code: LGBPS204

In 2024 alleen uitgevraagd bij personen van 65 jaar en ouder.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,0,0
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),BeperkingInBewegen_12,Beperkingen > Soort beperking,Beperking in bewegen,"Percentage personen van 65 jaar of ouder met de antwoordcategorie 'ja, met grote moeite' of 'nee, dat kan ik niet' op minstens 1 van de vragen naar beperkingen in bewegen (volgens de OESO indicator).

Indicator code: LGBPS205

In 2024 alleen uitgevraagd bij personen van 65 jaar en ouder.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,0,0
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),EenOfMeerdereKerenGevallen_13,Valongevallen,Één of meerdere keren gevallen,"Percentage personen van 65 jaar en ouder dat één of meerdere keren is gevallen in de laatste 12 maanden. Deze indicator is alleen beschikbaar voor personen van 65 jaar en ouder.

Indicator code: LGVOS302

In 2024 alleen uitgevraagd bij personen van 65 jaar en ouder.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,0,0
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),HoogRisicoAngststoornisOfDepressie_14,Mentale gezondheid,Hoog risico angststoornis of depressie,"Percentage van 18 jaar of ouder met een hoog risico op een angststoornis of depressie.

Dit is gebaseerd op een veel gebruikte vragenlijst voor screening van angst en depressie (Kessler-10 vragenlijst). De antwoorden worden samengevat in een score.

Iedere vraag heeft 5 antwoordcategorieën:1 'Altijd'; 2 'Meestal'; 3 'Soms'; 4 'Af en toe'; 5 'Nooit' 9 'onbekend'

Bij antwoord 1 'altijd' krijg je in dit geval de hoogste score 5, bij antwoord 5 'nooit' krijgt de laagste score 1. (Bij 3 of meer items Impossible, krijgt de indicator de waarde Impossible. Bij 1 of 2 items Impossible wordt de waarde geïmputeerd o.b.v. de gemiddelde score op dat item)

Vragenlijst: De volgende vragen gaan over hoe u zich voelde in de afgelopen 4 weken?
1 - Hoe vaak voelde u zich erg vermoeid zonder duidelijke reden?
2 - Hoe vaak voelde u zich zenuwachtig?
3 - Hoe vaak was u zo zenuwachtig dat u niet tot rust kon komen?
4 - Hoe vaak voelde u zich hopeloos?
5 -  Hoe vaak voelde u zich rusteloos of ongedurig?
6 - Hoe vaak voelde u zich zo rusteloos dat u niet meer stil kon zitten?
7 - Hoe vaak voelde u zich somber of depressief?
8 - Hoe vaak had u het gevoel dat alles veel moeite kostte?
9 - Hoe vaak voelde u zich zo somber dat niets hielp om u op te vrolijken?
10 - Hoe vaak vond u zichzelf afkeurenswaardig, minderwaardig of waardeloos?

De antwoorden op de vragen worden samengevat in een score tussen de 10-50:
10 t/m 15: geen of laag risico
16 t/m 29: matig risico
30 t/m 50: hoog risico op een angststoornis of depressie.

Indicator code: GGADA203

In 2012 is deze indicator afgeleid van GGADA201 - GGADA201 bevat alle drie categorieën van de K10 somscore: geen of laag risico, matig risico, hoog risico op een angststoornis of depressie.
Vanaf 2012 is er een afzonderlijke indicator gemaakt voor hoog risico op een angststoornis of depressie: GGADA203.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,76140,2693
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),SuicideGedachtenDeLaatste12Maanden_15,Mentale gezondheid,Suïcide gedachten de laatste 12 maanden,"Percentage personen van 18 jaar en ouder dat er in de laatste 12 maanden een enkele keer tot heel vaak serieus over heeft gedacht een eind te maken aan diens leven.

Indicator code: GGSUA201

Cijfers over 2012, 2016 en 2020 zijn niet beschikbaar.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,30552,1084
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),AngstDepressiegevoelensAfg4Weken_16,Mentale gezondheid,Angst-/depressiegevoelens afg. 4 weken,"Percentage personen van 18 jaar en ouder met angst- of depressiegevoelens in de laatste 4 weken.

Het hebben van angst- of depressiegevoelens is gemeten middels de Mental Health Inventory 5 (MHI-5). De MHI-5 is een internationale standaard voor een specifieke meting van de mentale gezondheid, bestaande uit vijf vragen. De MHI-5 is feitelijk een deelschaal van de Short Format 36 (SF-36), een uitvoerige internationale standaard voor de meting van gezondheid. De MHI-5 betreft vragen die steeds betrekking hebben op hoe men zich in de afgelopen vier weken voelde. Gevraagd is:
1.       Voelde je je erg zenuwachtig?
2.       Voelde je je kalm en rustig?
3.       Voelde je je neerslachtig en somber?
4.       Voelde je je gelukkig? 
5.       Zat je zo erg in de put dat niets je kon opvrolijken?

Iedere vraag heeft de volgende zes antwoordcategorieën: voortdurend – meestal – vaak – soms – zelden – nooit. Op basis van deze vijf vragen wordt een somscore berekend, welke loopt van 0 tot en met 100. Een respondent is gekwalificeerd als het hebben van angst- of depressiegevoelens bij een score van 76 of minder.

Let op! De score van 76 of minder is gebaseerd op een herijking van de afkappunten van de MHI-5, waarover is gepubliceerd in september 2024. Een score van 76 of minder indiceert de aanwezigheid van angst- of depressiegevoelens in de laatste 4 weken. Vóór deze herijking werd in de Gezondheidsmonitors het MHI-5 afkappunt van Perenboom et al. gebruikt, waarmee bij een score van 60 of minder sprake was van psychische klachten. Deze oude indicator voor ‘psychische klachten’ op basis van de MHI-5 wordt vanaf september 2024 niet meer gebruikt.

Indicator code: GGKLS405

Cijfers over 2012, 2016 en 2020 zijn niet beschikbaar.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,30552,1084
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),HeelVeelStressAfg4Weken_17,Mentale gezondheid,(Heel) veel stress afg. 4 weken,"Percentage personen van 18 jaar of ouder dat de afgelopen 4 weken (heel) veel stress heeft ervaren.

Indicator code: GGSTS216

Cijfers over 2012 en 2016 zijn niet beschikbaar.

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,45799,1626
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),BrozeGezondheid_18,Broze gezondheid,Broze gezondheid,"Percentage personen van 65 jaar en ouder dat een broze gezondheid heeft.

Broosheid (ook wel kwetsbaarheid of frailty genoemd) is een extreme uiting van het normale verouderingsproces. Er zijn diverse meetinstrumenten geschikt voor het meten van broosheid bij individuen. Recent is een voorstel gepubliceerd voor een Frailty-index voor populaties gebaseerd op 37 vragen uit de Gezondheidsmonitor Volwassen en Ouderen (FI-HM37).

De vragen in de index zijn gehercodeerd naar waardes tussen de 0 en de 1 voor elke vraag, waarbij de 1 staat voor een tekort. De items zijn vervolgens gesommeerd, hetgeen resulteert in een score die kan variëren van 0 tot en met 37. Deze score is gedeeld door het aantal items (37). Dit levert een frailty-index score op tussen de 0 en de 1. De gemiddelde score op deze index in Nederland op basis van de Gezondheidsmonitor lag in 2016 op 0,19 (Kleinenberg-Talsma et al., 2021). In de literatuur (Rockwood, Andrew en Mitnisky , 2007; Hoogendijk et al., 2017) wordt doorgaans een afkappunt voor broosheid gelegd  (niet/wel broos) bij 0.25.

De vragen betreffen zowel het fysieke (10 vragen), het psychische (16 vragen) als het sociale domein (11 vragen). Zowel voor de totale als voor de subdomeinen is een index berekend.

Vragen per domein:
Fysiek domein
1    Hoe is over het algemeen uw gezondheid?
2    Heeft u één of meer langdurige ziekten of aandoeningen?
3    Bent u vanwege problemen met uw gezondheid beperkt in uw dagelijks leven?
4    Kunt u een gesprek volgen in een groep van 3 of meer personen?
5    Kunt u met één andere persoon een gesprek voeren?
6    Zijn uw ogen goed genoeg om de kleine letters in de krant te kunnen lezen?
7    Kunt u op een afstand van 4 meter het gezicht van iemand herkennen?
8    Kunt u een voorwerp van 5 kg 10 meter dragen?
9    Kunt u als u staat, bukken en iets van de grond oppakken?
10  Kunt u 400 meter aan een stuk lopen, zonder stil te staan?

Psychologisch domein
11  Hoe vaak voelde u zich erg vermoeid zonder duidelijke reden?
12  Hoe vaak voelde u zich zenuwachtig?
13  Hoe vaak was u zo zenuwachtig dat u niet tot rust kon komen?
14  Hoe vaak voelde u zich hopeloos?
15  Hoe vaak voelde u zich rusteloos of ongedurig?
16  Hoe vaak voelde u zich zo rusteloos dat u niet meer stil kon zitten?
17  Hoe vaak voelde u zich somber of depressief?
18  Hoe vaak had u het gevoel dat alles veel moeite kostte?
19  Hoe vaak voelde u zich zo somber dat niets hielp om u op te vrolijken?
20  Hoe vaak vond u zichzelf afkeurenswaardig, minderwaardig of waardeloos?
21  Ik heb weinig controle over de dingen die me overkomen
22  Sommige van mijn problemen kan ik met geen mogelijkheid oplossen
23  Er is weinig dat ik kan doen om belangrijke dingen in mijn leven  te veranderen
24  Ik voel me vaak hulpeloos bij het omgaan met de problemen van het leven
25  Soms voel ik dat ik een speelbal van het leven ben
26  Ik kan ongeveer alles als ik m’n zinnen erop gezet heb

Sociaal domein
27  Er is altijd wel iemand in mijn omgeving bij wie ik met mijn dagelijkse probleempjes terecht kan.
28  Er zijn genoeg mensen op wie ik in geval van narigheid kan terugvallen.
29  Ik heb veel mensen op wie ik volledig kan vertrouwen.
30  Er zijn voldoende mensen met wie ik me nauw verbonden voel.
31  Wanneer ik daar behoefte aan heb, kan ik altijd bij mijn vrienden terecht.
32  Ik mis een echt goede vriend of vriendin.
33  Ik ervaar een leegte om mij heen.
34  Ik mis gezelligheid om mij heen.
35  Ik vind mijn kring van kennissen te beperkt.
36  Ik mis mensen om mij heen.
37  Vaak voel ik me in de steek gelaten

Indicator code: FRAILTYINDEX_cat

Let op: de percentages zijn gebaseerd op een modelmatige schatting.",%,1,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,0,0
